3

v02 a00 v00

-792.0 4.412686503910327 0.0
-661.0 4.338494782925915 0.0
-763.0 4.386866712084706 0.0
-559.0 4.312648078317297 0.0
-397.0 4.479168813166223 0.0
-723.0 4.284994597873726 0.0
-781.0 4.475526066441381 0.0
-464.0 4.528017595976325 0.0
-778.0 4.41810022453178 0.0
-555.0 4.427880147081544 0.0
-805.0 4.41367348462685 0.0
-524.0 4.486698384469649 0.0
-693.0 4.411034205803849 0.0
-597.0 4.647843510361732 0.0
-352.0 4.75167469740031 0.0
-766.0 4.4603943619976 0.0
-633.0 4.423324873418804 0.0
-680.0 4.722280743686404 0.0
-126.0 4.583049032343523 0.0
-746.0 4.466296090305642 0.0
-706.0 4.441979290344738 0.0
-596.0 4.447499661681643 0.0
-786.0 4.796480143871541 0.0
-809.0 4.553342390323427 0.0
-755.0 4.609111132347091 0.0
-552.0 4.549860511034513 0.0
-827.0 4.43481592416968 0.0
-509.0 4.618236469092744 0.0
-833.0 4.422394170437989 0.0
-464.0 4.652061904541309 0.0
-802.0 4.586298581372604 0.0
-649.0 5.198113988898176 0.0
-206.0 4.791088961887085 0.0
-309.0 5.059108023673574 0.0
-732.0 4.685568347957773 0.0
-242.0 4.715696811364539 0.0
-221.0 4.6448980781215825 0.0
-665.0 4.760906831682751 0.0
-716.0 4.657032132652838 0.0
-721.0 4.533265094981029 0.0
-577.0 4.83415236422934 0.0
-820.0 4.660831458885942 0.0
-787.0 4.910984976215225 0.0
-724.0 4.646689557418168 0.0
-528.0 4.844165596498641 0.0
-757.0 4.565082115604504 0.0
-406.0 4.785911599879084 0.0
-629.0 4.602471744069542 0.0
-228.0 5.205489062230052 0.0
-268.0 5.154777467053264 0.0
-324.0 4.829894864204708 0.0
-10.0 5.105127168441235 0.0
-236.0 4.938464372753176 0.0
15.0 5.052989655727245 0.0
-259.0 5.273240982045616 0.0
-834.0 4.595925192961152 0.0
-757.0 4.949683843464853 0.0
-821.0 4.577048491806494 0.0
-666.0 4.511790914329989 0.0
-867.0 4.620500947245811 0.0
-598.0 4.763888384436185 0.0
-425.0 4.758748556752448 0.0
-803.0 4.599760103971252 0.0
-718.0 4.861739558651564 0.0
-460.0 5.182222672468257 0.0
-597.0 4.666874539600502 0.0
-713.0 5.057776029291201 0.0
-734.0 4.676179500542034 0.0
-768.0 4.5399691659868475 0.0
-789.0 4.561079090025858 0.0
-721.0 4.892347534485374 0.0
-402.0 5.8628261894276354 0.0
-395.0 4.824380818694199 0.0
-770.0 5.349168433688632 0.0
-681.0 5.080436772665258 0.0
-133.0 5.354422927943521 0.0
-737.0 6.004997655531015 0.0
-606.0 5.328686629364318 0.0
-599.0 5.216139327451205 0.0
-523.0 5.230106637799343 0.0
-736.0 5.238167117262331 0.0
-789.0 5.132234401731664 0.0
-744.0 5.493577961956064 0.0
-835.0 5.5330637684797725 0.0
-691.0 5.368097592888807 0.0
-526.0 5.205795884307504 0.0
-777.0 5.5330044315668925 0.0
-480.0 5.510324988756143 0.0
-316.0 5.553677198623388 0.0
282.0 5.5886740718361665 0.0
-847.0 4.936017270420218 0.0
-832.0 4.825750141804492 0.0
-731.0 4.853953843498046 0.0
-784.0 5.116250343195685 0.0
-819.0 4.789756021517904 0.0
-402.0 5.208300390011778 0.0
-559.0 4.99154442131285 0.0
-833.0 4.765537282467127 0.0
-831.0 4.765551984854369 0.0
-178.0 5.289902398014041 0.0
-409.0 5.072742169895477 0.0
-773.0 5.193646071159186 0.0
-449.0 5.778204873492962 0.0
-280.0 5.268411050239628 0.0
-746.0 5.645688320418523 0.0
-634.0 5.78796664283915 0.0
-642.0 5.7564236996400036 0.0
-511.0 5.948842155993256 0.0
-622.0 7.21683971353481 0.0
-628.0 5.792147701112639 0.0
-670.0 6.98874585056747 0.0
-744.0 5.766877876096676 0.0
-799.0 5.8671287646954635 0.0
-744.0 5.699579795651285 0.0
-529.0 5.81267234771287 0.0
-376.0 6.0114701188242865 0.0
-447.0 6.065474610032975 0.0
-187.0 7.489110858714973 0.0
-556.0 5.2733686690126325 0.0
-681.0 5.248957390080734 0.0
-782.0 5.097610793824782 0.0
-712.0 5.453829254900021 0.0
-819.0 5.5209250145272355 0.0
-554.0 6.375298487739762 0.0
-820.0 5.902800652056306 0.0
-648.0 5.728819022359902 0.0
-686.0 7.528263368933405 0.0
-579.0 7.55248512195573 0.0
-476.0 6.866780720942503 0.0
-628.0 6.1947539568218 0.0
-885.0 6.656106712730671 0.0
-767.0 6.416331496970703 0.0
-492.0 6.304903563884764 0.0
-435.0 7.811459289393865 0.0
-238.0 6.59272419555271 0.0
-574.0 6.975723704168626 0.0
-348.0 7.148123688499315 0.0
-460.0 7.233047559129038 0.0
408.0 7.518563472090833 0.0
-760.0 5.698703215687525 0.0
-878.0 5.35971434687341 0.0
-917.0 5.521815320918526 0.0
-465.0 5.657311616007119 0.0
-747.0 5.37501047402905 0.0
-642.0 5.802326449651944 0.0
-442.0 5.635568767337698 0.0
-764.0 5.998529670007174 0.0
-643.0 6.47616383167478 0.0
-431.0 6.355077563765307 0.0
-477.0 6.298131004833205 0.0
-623.0 7.1543270549211355 0.0
-838.0 9.104004878979577 0.0
-714.0 6.8659897812527 0.0
-745.0 6.813871962168611 0.0
-621.0 6.888840883887799 0.0
-381.0 7.149249436608904 0.0
-93.0 7.148308607736001 0.0
-348.0 7.4082157796686054 0.0
-513.0 8.572769918518777 0.0
-699.0 5.792377265846765 0.0
-778.0 5.9899884895102655 0.0
-846.0 6.059364901160519 0.0
-808.0 6.110933439744782 0.0
-424.0 5.8594017420262325 0.0
-670.0 6.544690787091438 0.0
-605.0 6.718712232555841 0.0
-518.0 6.874243337279751 0.0
-347.0 6.7883415588937135 0.0
-470.0 7.998294005789714 0.0
-617.0 8.911518042486712 0.0
-698.0 8.9642736165099 0.0
-560.0 8.745387534443983 0.0
-559.0 7.616312909913866 0.0
-386.0 8.078062913240851 0.0
-652.0 8.059051995472648 0.0
-640.0 8.518771286939604 0.0
-736.0 7.5888533343179265 0.0
-749.0 8.21586203562981 0.0
-718.0 7.99307709752151 0.0
-707.0 8.21278296846073 0.0
-800.0 9.634065362098024 0.0
-285.0 7.678450183442114 0.0
-88.0 7.8972761676118095 0.0
-752.0 8.213535640582723 0.0
-349.0 8.554658954692776 0.0
-309.0 7.910228288549563 0.0
-496.0 8.278932740902908 0.0
-671.0 4.949694473305856 0.0
-840.0 5.142399249396718 0.0
-877.0 5.103009735570656 0.0
-674.0 5.20813285434827 0.0
-286.0 5.591955826748999 0.0
-314.0 5.236836453610372 0.0
-906.0 5.346830498936387 0.0
-827.0 5.169525982930785 0.0
-148.0 5.381966282675155 0.0
-769.0 5.508622089677993 0.0
-670.0 5.387154280287963 0.0
-609.0 5.938742005316634 0.0
-626.0 5.946468664890146 0.0
-826.0 5.92412704721512 0.0
-702.0 5.875920813089383 0.0
-432.0 5.914502348251998 0.0
-800.0 5.957119981949408 0.0
-686.0 6.2302672970011335 0.0
-548.0 6.44829698741704 0.0
-244.0 6.25528039525114 0.0
-534.0 6.291172322589861 0.0
-622.0 6.7058405680940165 0.0
-480.0 7.447415955482476 0.0
-333.0 7.271818331281182 0.0
-772.0 8.204529781350633 0.0
-705.0 7.741492660119461 0.0
-675.0 8.349738578042993 0.0
-573.0 7.95255851790917 0.0
-705.0 7.8171536670754325 0.0
-595.0 8.761763338580478 0.0
-676.0 8.325110476326797 0.0
-719.0 9.429036571378957 0.0
-631.0 8.284043542232862 0.0
-660.0 9.4321449972765 0.0
-651.0 9.504200120941316 0.0
-483.0 8.427552007248298 0.0
-422.0 9.077200300548592 0.0
-387.0 8.99803814267325 0.0
-258.0 10.04835512038884 0.0
-429.0 10.832389910633294 0.0
-500.0 9.58024079523146 0.0
13.0 9.125816849948825 0.0
-764.0 4.367318984060181 0.0
-812.0 4.308655413205557 0.0
-914.0 4.3256817978676345 0.0
-108.0 4.303239098723864 0.0
-828.0 4.737025843741915 0.0
-818.0 4.67883604579852 0.0
-828.0 4.582448258105105 0.0
-565.0 4.66361260613505 0.0
-891.0 5.18929015497198 0.0
-707.0 4.919289347438052 0.0
-341.0 5.052366841069368 0.0
-164.0 5.302262282134017 0.0
-854.0 5.6408814005252665 0.0
-799.0 5.688768690206535 0.0
-100.0 6.30757747555388 0.0
-883.0 6.0003325093321855 0.0
-796.0 6.0278238584500565 0.0
-515.0 6.152467640758884 0.0
-681.0 6.381278126520553 0.0
-765.0 6.99635484970169 0.0
-424.0 7.356920326368146 0.0
-745.0 7.300134339516835 0.0
-174.0 7.8263580312315755 0.0
-421.0 7.4200601605557335 0.0
-622.0 7.937401250533225 0.0
-505.0 9.084200920585086 0.0
-535.0 9.352814838088381 0.0
-895.0 8.616619260920123 0.0
-855.0 8.537802462523304 0.0
-541.0 9.156963450593786 0.0
-252.0 8.43740646823376 0.0
-826.0 8.39334783122384 0.0
-696.0 9.517785718863475 0.0
-639.0 9.993753033568085 0.0
-211.0 8.555939468596899 0.0
-801.0 8.925016355803598 0.0
-685.0 8.401311448554972 0.0
-342.0 8.737874527389836 0.0
-449.0 8.665526623753983 0.0
-515.0 8.48953437732268 0.0
-495.0 8.478293318326713 0.0
-617.0 9.060013374887768 0.0
-548.0 8.571773306227705 0.0
-595.0 8.423808512364563 0.0
-471.0 8.751507950060686 0.0
-585.0 10.311372911475633 0.0
-355.0 8.920872555500491 0.0
-640.0 9.007135898166307 0.0
-664.0 8.633121943045461 0.0
-423.0 9.164508885975474 0.0
-601.0 10.057741952029069 0.0
-679.0 10.540459648231286 0.0
-890.0 10.231467569432501 0.0
-401.0 9.097287688234523 0.0
-718.0 9.132221575208018 0.0
-96.0 10.17833922945943 0.0
-473.0 9.542687858691092 0.0
385.0 9.624621562299568 0.0
475.0 10.350900326962643 0.0
-369.0 9.36593307466291 0.0
-566.0 4.305506525974358 0.0
-609.0 4.360713787420702 0.0
-933.0 4.4918306475583485 0.0
-964.0 4.519555699957357 0.0
-954.0 4.749770325461161 0.0
-415.0 4.34898017264523 0.0
-54.0 4.684220798478508 0.0
-87.0 4.9807253286849935 0.0
-817.0 5.143927483212343 0.0
-891.0 5.406862082128568 0.0
-731.0 5.913435609666275 0.0
-543.0 5.654381029132933 0.0
-735.0 6.123110604053043 0.0
-346.0 6.876581311582464 0.0
-668.0 7.36772732478478 0.0
-608.0 7.7750709132596985 0.0
-238.0 7.797243982105277 0.0
-437.0 8.576058221827768 0.0
-636.0 9.299248220313144 0.0
-578.0 11.598973332004118 0.0
-590.0 9.421531652357974 0.0
-824.0 9.609611979004143 0.0
-869.0 9.296920427342831 0.0
-730.0 10.196826849771018 0.0
-166.0 9.443134667350295 0.0
-721.0 9.151159375088831 0.0
-712.0 10.161876642106659 0.0
-23.0 9.902081007969246 0.0
-431.0 11.129123719273544 0.0
-534.0 10.30497607938848 0.0
-284.0 9.413447597869675 0.0
-373.0 9.75395153925238 0.0
-339.0 9.789680609599339 0.0
-616.0 10.764175895446826 0.0
-387.0 9.893770310688943 0.0
-139.0 9.768459954024166 0.0
-197.0 10.160608458434012 0.0
-277.0 10.642482939575144 0.0
-797.0 3.6316452811498023 0.0
-900.0 3.5628282419714195 0.0
-912.0 3.8708222621935775 0.0
-782.0 3.5246705697833627 0.0
-797.0 3.613005007196959 0.0
-394.0 3.8050891475195123 0.0
-291.0 3.7959326530955524 0.0
-911.0 3.6140370077578456 0.0
-370.0 3.5267368812772326 0.0
-839.0 3.97126391780586 0.0
-880.0 4.239605246945185 0.0
-198.0 4.05013564146427 0.0
-837.0 4.316774449530436 0.0
-435.0 4.200863381646312 0.0
-877.0 4.311963573214002 0.0
-388.0 4.50026842850602 0.0
-197.0 4.646075948381617 0.0
