3

v02 a00 v00

-174.0 0.0 0.0
-139.0 0.0 0.0
-260.0 0.0 0.0
-293.0 0.0 0.0
-97.0 0.0 0.0
-214.0 0.0 0.0
-102.0 0.0 0.0
-237.0 0.0 0.0
-234.0 0.0 0.0
-214.0 0.0 0.0
-171.0 0.0 0.0
-102.0 0.0 0.0
-261.0 0.0 0.0
-92.0 0.0 0.0
-38.0 0.0 0.0
-146.0 0.0 0.0
-171.0 0.0 0.0
-96.0 0.0 0.0
-71.0 0.0 0.0
-93.0 0.0 0.0
-85.0 0.0 0.0
-259.0 0.0 0.0
-118.0 0.0 0.0
-230.0 0.0 0.0
-189.0 0.0 0.0
-210.0 0.0 0.0
-290.0 0.0 0.0
-123.0 0.0 0.0
-214.0 0.0 0.0
-209.0 0.0 0.0
-160.0 0.0 0.0
-188.0 0.0 0.0
-392.0 0.0 0.0
-198.0 0.0 0.0
-215.0 0.0 0.0
-216.0 0.0 0.0
-143.0 0.0 0.0
-70.0 0.0 0.0
-73.0 0.0 0.0
-108.0 0.0 0.0
-87.0 0.0 0.0
-175.0 0.0 0.0
-83.0 0.0 0.0
-92.0 0.0 0.0
-262.0 0.0 0.0
-39.0 0.0 0.0
-132.0 0.0 0.0
-347.0 0.0 0.0
-124.0 0.0 0.0
-78.0 0.0 0.0
-193.0 0.0 0.0
-222.0 0.0 0.0
-123.0 0.0 0.0
-218.0 0.0 0.0
-162.0 0.0 0.0
-138.0 0.0 0.0
-192.0 0.0 0.0
-77.0 0.0 0.0
-95.0 0.0 0.0
-192.0 0.0 0.0
-156.0 0.0 0.0
-131.0 0.0 0.0
-33.0 0.0 0.0
-86.0 0.0 0.0
-106.0 0.0 0.0
-139.0 0.0 0.0
-81.0 0.0 0.0
-175.0 0.0 0.0
-357.0 0.0 0.0
-278.0 0.0 0.0
-161.0 0.0 0.0
-170.0 0.0 0.0
-203.0 0.0 0.0
-9.0 0.0 0.0
-160.0 0.0 0.0
-260.0 0.0 0.0
-109.0 0.0 0.0
-199.0 0.0 0.0
-79.0 0.0 0.0
-80.0 0.0 0.0
-64.0 0.0 0.0
-145.0 0.0 0.0
-157.0 0.0 0.0
-142.0 0.0 0.0
-121.0 0.0 0.0
-85.0 0.0 0.0
-93.0 0.0 0.0
-105.0 0.0 0.0
-146.0 0.0 0.0
-271.0 0.0 0.0
-275.0 0.0 0.0
-121.0 0.0 0.0
-184.0 0.0 0.0
-278.0 0.0 0.0
-204.0 0.0 0.0
-403.0 0.0 0.0
-221.0 0.0 0.0
-102.0 0.0 0.0
-270.0 0.0 0.0
-206.0 0.0 0.0
-131.0 0.0 0.0
-298.0 0.0 0.0
-159.0 0.0 0.0
-103.0 0.0 0.0
-228.0 0.0 0.0
-209.0 0.0 0.0
-243.0 0.0 0.0
-134.0 0.0 0.0
